NAME	LJ_WDEPTH	LJ_RADIUS	LJ_3B_WDEPTH	LJ_3B_RADIUS
C	-0.110000	2.000000	-0.110000	2.000000
CA	-0.070000	1.992400	-0.070000	1.992400
CAP	-0.070000	1.992400	-0.070000	1.992400 # from toppar_all22_prot_pyridines.str
CC	-0.070000	2.000000	-0.070000	2.000000
CD	-0.070000	2.000000	-0.070000	2.000000
CE1	-0.068000	2.090000	-0.068000	2.090000
CE2	-0.064000	2.080000	-0.064000	2.080000
CF1	-0.060000	1.900000	-0.060000	1.900000
#CF2	-0.042000	2.050000	-0.042000	2.050000
CF3	-0.020000	2.300000	-0.020000	2.300000
#CM	-0.110000	2.100000	-0.110000	2.100000
#CN	-0.200000	1.750000	-0.200000	1.750000 # from toppar_all22_prot_pyridines.str
CN1	-0.100000	1.900000	-0.100000	1.900000
CN1T	-0.100000	1.900000	-0.100000	1.900000
CN2	-0.100000	1.900000	-0.100000	1.900000
CN3	-0.090000	1.900000	-0.090000	1.900000
CN3T	-0.090000	1.900000	-0.090000	1.900000
CN4	-0.075000	1.900000	-0.075000	1.900000
CN5	-0.075000	1.900000	-0.075000	1.900000
CN5G	-0.075000	1.900000	-0.075000	1.900000
CN7	-0.020000	2.275000	-0.010000	1.900000 # defines 3 bond
CN7B	-0.020000	2.275000	-0.010000	1.900000 # defines 3 bond
CN8	-0.056000	2.010000	-0.010000	1.900000 # defines 3 bond
CN8B	-0.056000	2.010000	-0.010000	1.900000 # defines 3 bond
CN9	-0.078000	2.040000	-0.010000	1.900000 # defines 3 bond
#COA	-0.110000	2.000000	-0.110000	2.000000 # from toppar_all22_prot_pyridines.str
CP1	-0.020000	2.275000	-0.010000	1.900000 # defines 3 bond
CP2	-0.055000	2.175000	-0.010000	1.900000 # defines 3 bond
CP3	-0.055000	2.175000	-0.010000	1.900000 # defines 3 bond
#CPA	-0.090000	1.800000	-0.090000	1.800000
#CPB	-0.090000	1.800000	-0.090000	1.800000
CPH1	-0.050000	1.800000	-0.050000	1.800000
CPH2	-0.050000	1.800000	-0.050000	1.800000
#CPM	-0.090000	1.800000	-0.090000	1.800000
CPT	-0.090000	1.800000	-0.090000	1.900000 # defines 3 bond
#CS	-0.110000	2.200000	-0.110000	2.200000
#CST	-0.058000	1.563000	-0.058000	1.563000
#CT	-0.020000	2.275000	-0.010000	1.900000 # defines 3 bond
CT1	-0.020000	2.275000	-0.010000	1.900000 # defines 3 bond
CT2	-0.055000	2.175000	-0.010000	1.900000 # defines 3 bond
CT3	-0.080000	2.060000	-0.010000	1.900000 # defines 3 bond
CY	-0.070000	1.992400	-0.070000	1.992400
H	-0.046000	0.224500	-0.046000	0.224500
HA	-0.022000	1.320000	-0.022000	1.320000
HB	-0.022000	1.320000	-0.022000	1.320000
HC	-0.046000	0.224500	-0.046000	0.224500
HE1	-0.031000	1.250000	-0.031000	1.250000
HE2	-0.026000	1.260000	-0.026000	1.260000
HN1	-0.046000	0.224500	-0.046000	0.224500
HN2	-0.046000	0.224500	-0.046000	0.224500
HN3	-0.046000	1.100000	-0.046000	1.100000
HN7	-0.022000	1.320000	-0.022000	1.320000
HN8	-0.028000	1.340000	-0.028000	1.340000
HN9	-0.024000	1.340000	-0.024000	1.340000
HP	-0.030000	1.358200	-0.030000	1.358200 # defines 3 bond
HR1	-0.046000	0.900000	-0.046000	0.900000
HR2	-0.046000	0.700000	-0.046000	0.700000
HR3	-0.007800	1.468000	-0.007800	1.468000
HS	-0.100000	0.450000	-0.100000	0.450000
#HT	-0.046000	0.224500	-0.046000	0.224500
#HF1	-0.028000	1.320000	-0.028000	1.320000
