

VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT %8.3f %8.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f %6.3f

-180.000 -180.000  1.096  1.103  1.125  1.167  1.230  1.311  1.402  1.493  1.574  1.636  1.655  1.577  1.391  1.233  1.165  1.144  1.138  1.137  1.137  1.141  1.159  1.231  1.436  1.681  1.727  1.619  1.438  1.213  0.975  0.758  0.583  0.457  0.374  0.323  0.295  0.282  0.279  0.287  0.311  0.362  0.452  0.589  0.753  0.889  0.965  0.992  0.992  0.975  0.938  0.885  0.834  0.819  0.859  0.954  1.085  1.220  1.327  1.387  1.403  1.389  1.356  1.317  1.277  1.240  1.209  1.184  1.163  1.146  1.132  1.119  1.107  1.099
-175.000 -175.000  1.128  1.133  1.152  1.189  1.247  1.322  1.406  1.490  1.565  1.616  1.612  1.496  1.312  1.195  1.153  1.141  1.137  1.137  1.138  1.143  1.165  1.254  1.488  1.738  1.787  1.699  1.544  1.341  1.110  0.883  0.689  0.543  0.444  0.382  0.348  0.332  0.330  0.341  0.371  0.430  0.530  0.673  0.834  0.960  1.025  1.044  1.041  1.024  0.991  0.940  0.886  0.860  0.883  0.957  1.067  1.184  1.282  1.343  1.365  1.358  1.334  1.302  1.270  1.240  1.216  1.197  1.183  1.171  1.160  1.150  1.140  1.132
-170.000 -170.000  1.151  1.154  1.170  1.202  1.254  1.322  1.400  1.477  1.544  1.583  1.550  1.407  1.249  1.171  1.146  1.139  1.137  1.137  1.138  1.144  1.173  1.281  1.544  1.792  1.837  1.763  1.632  1.455  1.240  1.013  0.806  0.642  0.526  0.454  0.413  0.395  0.394  0.410  0.448  0.517  0.629  0.779  0.938  1.054  1.107  1.116  1.107  1.089  1.059  1.010  0.954  0.917  0.924  0.978  1.066  1.165  1.250  1.305  1.329  1.327  1.309  1.284  1.258  1.235  1.216  1.203  1.193  1.185  1.178  1.170  1.163  1.155
-165.000 -165.000  1.167  1.169  1.181  1.208  1.253  1.313  1.382  1.451  1.509  1.531  1.471  1.324  1.205  1.156  1.141  1.137  1.137  1.137  1.139  1.147  1.183  1.315  1.605  1.843  1.880  1.815  1.703  1.550  1.358  1.141  0.929  0.751  0.621  0.539  0.493  0.474  0.476  0.497  0.544  0.626  0.751  0.910  1.068  1.175  1.215  1.212  1.195  1.174  1.145  1.099  1.040  0.993  0.983  1.017  1.083  1.161  1.231  1.277  1.299  1.299  1.286  1.265  1.244  1.226  1.212  1.202  1.196  1.191  1.187  1.182  1.177  1.171
-160.000 -160.000  1.175  1.176  1.184  1.205  1.242  1.293  1.352  1.410  1.456  1.460  1.382  1.254  1.175  1.147  1.139  1.137  1.136  1.137  1.139  1.151  1.198  1.358  1.671  1.891  1.917  1.857  1.759  1.627  1.458  1.258  1.051  0.867  0.728  0.637  0.588  0.570  0.576  0.606  0.664  0.759  0.897  1.065  1.224  1.324  1.353  1.336  1.307  1.281  1.252  1.207  1.145  1.088  1.061  1.074  1.118  1.175  1.226  1.261  1.277  1.277  1.266  1.250  1.232  1.217  1.206  1.199  1.194  1.192  1.190  1.187  1.183  1.179
-155.000 -155.000  1.176  1.175  1.179  1.194  1.220  1.259  1.305  1.350  1.382  1.372  1.293  1.202  1.156  1.141  1.137  1.136  1.136  1.137  1.141  1.156  1.218  1.414  1.743  1.939  1.951  1.891  1.802  1.686  1.538  1.359  1.165  0.984  0.842  0.749  0.700  0.686  0.698  0.737  0.807  0.916  1.066  1.243  1.404  1.501  1.519  1.488  1.446  1.411  1.379  1.333  1.268  1.200  1.156  1.148  1.169  1.202  1.234  1.254  1.263  1.261  1.252  1.240  1.225  1.212  1.202  1.195  1.191  1.189  1.187  1.186  1.183  1.180
-150.000 -150.000  1.168  1.165  1.164  1.170  1.185  1.210  1.240  1.270  1.288  1.272  1.215  1.165  1.144  1.138  1.137  1.136  1.137  1.138  1.143  1.166  1.250  1.489  1.826  1.988  1.983  1.920  1.836  1.730  1.599  1.440  1.263  1.094  0.958  0.869  0.826  0.819  0.841  0.890  0.971  1.092  1.253  1.438  1.603  1.701  1.712  1.667  1.608  1.561  1.521  1.471  1.401  1.324  1.264  1.236  1.233  1.242  1.252  1.257  1.257  1.252  1.245  1.235  1.224  1.212  1.202  1.193  1.187  1.183  1.180  1.178  1.176  1.173
-145.000 -145.000  1.151  1.144  1.138  1.134  1.137  1.145  1.158  1.172  1.179  1.172  1.153  1.140  1.136  1.136  1.136  1.136  1.137  1.139  1.148  1.183  1.301  1.592  1.923  2.043  2.017  1.946  1.861  1.761  1.641  1.499  1.342  1.190  1.069  0.992  0.960  0.964  0.997  1.057  1.149  1.278  1.448  1.639  1.812  1.915  1.925  1.867  1.790  1.725  1.672  1.614  1.537  1.451  1.377  1.330  1.304  1.290  1.278  1.267  1.256  1.248  1.242  1.235  1.227  1.217  1.206  1.194  1.184  1.176  1.170  1.166  1.162  1.157
-140.000 -140.000  1.124  1.113  1.100  1.087  1.075  1.068  1.065  1.065  1.068  1.082  1.105  1.122  1.131  1.134  1.135  1.136  1.138  1.142  1.158  1.214  1.387  1.735  2.038  2.107  2.054  1.972  1.880  1.779  1.666  1.537  1.399  1.269  1.168  1.111  1.095  1.112  1.157  1.227  1.326  1.462  1.635  1.833  2.015  2.129  2.144  2.078  1.982  1.894  1.822  1.751  1.665  1.570  1.485  1.421  1.375  1.338  1.306  1.279  1.259  1.247  1.240  1.236  1.231  1.224  1.212  1.198  1.184  1.170  1.159  1.150  1.142  1.134
-135.000 -135.000  1.091  1.074  1.054  1.031  1.009  0.988  0.972  0.963  0.971  1.010  1.067  1.107  1.125  1.132  1.135  1.136  1.139  1.148  1.177  1.274  1.529  1.926  2.171  2.181  2.098  1.997  1.894  1.788  1.676  1.557  1.436  1.330  1.254  1.219  1.221  1.253  1.308  1.384  1.488  1.625  1.799  2.000  2.194  2.325  2.354  2.286  2.171  2.057  1.961  1.872  1.774  1.671  1.576  1.499  1.436  1.382  1.332  1.291  1.262  1.246  1.239  1.237  1.235  1.230  1.219  1.204  1.185  1.166  1.148  1.132  1.119  1.105
-130.000 -130.000  1.057  1.035  1.010  0.981  0.951  0.923  0.900  0.889  0.903  0.957  1.034  1.091  1.118  1.129  1.134  1.137  1.143  1.160  1.218  1.386  1.746  2.151  2.308  2.258  2.145  2.022  1.903  1.787  1.673  1.561  1.457  1.375  1.326  1.314  1.333  1.377  1.438  1.518  1.621  1.754  1.925  2.126  2.330  2.483  2.535  2.473  2.343  2.203  2.079  1.968  1.856  1.744  1.643  1.557  1.483  1.415  1.353  1.302  1.265  1.245  1.237  1.236  1.236  1.233  1.224  1.209  1.188  1.165  1.141  1.118  1.097  1.077
-125.000 -125.000  1.036  1.011  0.985  0.956  0.925  0.895  0.870  0.858  0.872  0.923  1.002  1.070  1.108  1.125  1.133  1.139  1.151  1.187  1.298  1.578  2.030  2.369  2.422  2.324  2.184  2.040  1.903  1.775  1.657  1.552  1.467  1.410  1.387  1.396  1.430  1.481  1.545  1.624  1.721  1.845  2.005  2.200  2.408  2.584  2.665  2.622  2.485  2.320  2.167  2.031  1.904  1.784  1.680  1.591  1.512  1.437  1.367  1.309  1.267  1.243  1.233  1.232  1.234  1.233  1.226  1.212  1.192  1.167  1.139  1.111  1.085  1.060
-120.000 -120.000  1.043  1.024  1.006  0.985  0.959  0.929  0.898  0.877  0.876  0.908  0.972  1.043  1.093  1.119  1.132  1.143  1.169  1.244  1.450  1.861  2.317  2.518  2.482  2.352  2.196  2.039  1.889  1.751  1.631  1.534  1.468  1.436  1.439  1.467  1.511  1.566  1.629  1.702  1.789  1.900  2.042  2.221  2.425  2.615  2.728  2.715  2.583  2.398  2.216  2.056  1.914  1.790  1.686  1.600  1.522  1.447  1.375  1.313  1.268  1.240  1.228  1.226  1.229  1.230  1.226  1.215  1.198  1.174  1.146  1.117  1.089  1.064
-115.000 -115.000  1.096  1.095  1.097  1.094  1.076  1.038  0.987  0.939  0.909  0.909  0.947  1.010  1.070  1.108  1.130  1.153  1.207  1.355  1.694  2.174  2.501  2.556  2.464  2.321  2.162  2.002  1.850  1.711  1.595  1.510  1.463  1.455  1.480  1.524  1.576  1.633  1.692  1.757  1.832  1.925  2.045  2.200  2.386  2.576  2.716  2.738  2.625  2.429  2.222  2.039  1.885  1.761  1.666  1.589  1.519  1.449  1.380  1.318  1.270  1.239  1.224  1.220  1.222  1.225  1.224  1.218  1.206  1.187  1.164  1.141  1.119  1.104
-110.000 -110.000  1.201  1.232  1.266  1.287  1.275  1.218  1.127  1.033  0.963  0.928  0.933  0.978  1.040  1.091  1.129  1.176  1.285  1.549  1.990  2.379  2.514  2.473  2.360  2.222  2.074  1.925  1.783  1.655  1.551  1.480  1.451  1.463  1.506  1.564  1.624  1.682  1.738  1.794  1.856  1.930  2.025  2.150  2.307  2.483  2.632  2.688  2.601  2.405  2.180  1.981  1.823  1.707  1.626  1.565  1.508  1.448  1.384  1.324  1.275  1.241  1.221  1.215  1.216  1.220  1.223  1.223  1.218  1.208  1.195  1.184  1.177  1.182
-105.000 -105.000  1.345  1.415  1.488  1.538  1.532  1.449  1.308  1.158  1.038  0.964  0.936  0.953  1.006  1.069  1.131  1.224  1.427  1.798  2.184  2.366  2.370  2.293  2.186  2.066  1.940  1.814  1.694  1.587  1.501  1.447  1.433  1.458  1.514  1.582  1.651  1.712  1.765  1.815  1.865  1.921  1.992  2.086  2.209  2.356  2.499  2.575  2.518  2.332  2.103  1.899  1.745  1.642  1.580  1.538  1.497  1.448  1.392  1.334  1.284  1.245  1.221  1.211  1.210  1.215  1.222  1.229  1.233  1.235  1.237  1.242  1.258  1.291
-100.000 -100.000  1.496  1.605  1.717  1.798  1.805  1.707  1.522  1.314  1.140  1.021  0.956  0.942  0.975  1.043  1.142  1.311  1.611  1.949  2.140  2.176  2.135  2.064  1.978  1.885  1.788  1.692  1.600  1.518  1.453  1.414  1.408  1.440  1.501  1.577  1.653  1.718  1.773  1.819  1.860  1.902  1.953  2.018  2.108  2.222  2.346  2.430  2.400  2.240  2.024  1.826  1.680  1.590  1.544  1.518  1.492  1.453  1.403  1.348  1.296  1.253  1.224  1.209  1.205  1.211  1.222  1.236  1.250  1.264  1.280  1.304  1.344  1.406
